ID:
Row     Mean         STD          RSTD         Low          High          0.10%        0.25%        0.50%        0.75%        1.00%        2.50%        5.00%        7.50%       10.00%       20.00%       25.00%       50.00%       75.00%       80.00%       90.00%       92.50%       95.00%       97.50%       99.00%       99.25%       99.50%       99.75%       99.90%
     4   2.0828      0.13723       6.5886       1.6682       2.5024       1.6682       1.7000       1.7155       1.7403       1.7607       1.8144       1.8645       1.8921       1.9102       1.9674       1.9907       2.0798       2.1729       2.1926       2.2644       2.2925       2.3179       2.3465       2.4103       2.4246       2.4489       2.4781       2.5024    
     5   2.0828      0.13723       6.5886       1.6682       2.5024       1.6682       1.7000       1.7155       1.7403       1.7607       1.8144       1.8645       1.8921       1.9102       1.9674       1.9907       2.0798       2.1729       2.1926       2.2644       2.2925       2.3179       2.3465       2.4103       2.4246       2.4489       2.4781       2.5024    
     6   2.0828      0.13723       6.5886       1.6682       2.5024       1.6682       1.7000       1.7155       1.7403       1.7607       1.8144       1.8645       1.8921       1.9102       1.9674       1.9907       2.0798       2.1729       2.1926       2.2644       2.2925       2.3179       2.3465       2.4103       2.4246       2.4489       2.4781       2.5024    
LTVKA:
Row     Mean         STD          RSTD         Low          High          0.10%        0.25%        0.50%        0.75%        1.00%        2.50%        5.00%        7.50%       10.00%       20.00%       25.00%       50.00%       75.00%       80.00%       90.00%       92.50%       95.00%       97.50%       99.00%       99.25%       99.50%       99.75%       99.90%
     1  3.42839E-02  0.76623       2234.9      -2.1785       2.4019      -2.1785      -2.1268      -2.0434      -1.8740      -1.7823      -1.4681      -1.1787      -1.0298     -0.93166     -0.59968     -0.47972      3.20060E-02  0.52964      0.66605       1.0279       1.1399       1.3813       1.6869       1.8444       1.9482       1.9639       2.3267       2.4019    
     2  3.42839E-02  0.76623       2234.9      -2.1785       2.4019      -2.1785      -2.1268      -2.0434      -1.8740      -1.7823      -1.4681      -1.1787      -1.0298     -0.93166     -0.59968     -0.47972      3.20060E-02  0.52964      0.66605       1.0279       1.1399       1.3813       1.6869       1.8444       1.9482       1.9639       2.3267       2.4019    
     3  3.42839E-02  0.76623       2234.9      -2.1785       2.4019      -2.1785      -2.1268      -2.0434      -1.8740      -1.7823      -1.4681      -1.1787      -1.0298     -0.93166     -0.59968     -0.47972      3.20060E-02  0.52964      0.66605       1.0279       1.1399       1.3813       1.6869       1.8444       1.9482       1.9639       2.3267       2.4019    
     4  3.42839E-02  0.76623       2234.9      -2.1785       2.4019      -2.1785      -2.1268      -2.0434      -1.8740      -1.7823      -1.4681      -1.1787      -1.0298     -0.93166     -0.59968     -0.47972      3.20060E-02  0.52964      0.66605       1.0279       1.1399       1.3813       1.6869       1.8444       1.9482       1.9639       2.3267       2.4019    
     5  3.42839E-02  0.76623       2234.9      -2.1785       2.4019      -2.1785      -2.1268      -2.0434      -1.8740      -1.7823      -1.4681      -1.1787      -1.0298     -0.93166     -0.59968     -0.47972      3.20060E-02  0.52964      0.66605       1.0279       1.1399       1.3813       1.6869       1.8444       1.9482       1.9639       2.3267       2.4019    
