ID:
Row     Mean         STD          RSTD         Low          High          0.10%        0.25%        0.50%        0.75%        1.00%        2.50%        5.00%        7.50%       10.00%       20.00%       25.00%       50.00%       75.00%       80.00%       90.00%       92.50%       95.00%       97.50%       99.00%       99.25%       99.50%       99.75%       99.90%
     4   2.0870      0.29110       13.948       1.2075       2.9773       1.2076       1.2739       1.3080       1.3602       1.4038       1.5176       1.6240       1.6827       1.7209       1.8422       1.8917       2.0808       2.2780       2.3198       2.4723       2.5319       2.5857       2.6465       2.7817       2.8122       2.8637       2.9284       2.9773    
     5   2.0870      0.29110       13.948       1.2075       2.9773       1.2076       1.2739       1.3080       1.3602       1.4038       1.5176       1.6240       1.6827       1.7209       1.8422       1.8917       2.0808       2.2780       2.3198       2.4723       2.5319       2.5857       2.6465       2.7817       2.8122       2.8637       2.9284       2.9773    
     6   2.0870      0.29110       13.948       1.2075       2.9773       1.2076       1.2739       1.3080       1.3602       1.4038       1.5176       1.6240       1.6827       1.7209       1.8422       1.8917       2.0808       2.2780       2.3198       2.4723       2.5319       2.5857       2.6465       2.7817       2.8122       2.8637       2.9284       2.9773    
LTVKA:
Row     Mean         STD          RSTD         Low          High          0.10%        0.25%        0.50%        0.75%        1.00%        2.50%        5.00%        7.50%       10.00%       20.00%       25.00%       50.00%       75.00%       80.00%       90.00%       92.50%       95.00%       97.50%       99.00%       99.25%       99.50%       99.75%       99.90%
     1  1.38910E-02  0.29676       2136.3     -0.84310      0.93088     -0.84309     -0.82412     -0.79081     -0.72554     -0.68970     -0.56799     -0.45588     -0.39821     -0.36022     -0.23164     -0.18518      1.30085E-02  0.20574      0.25857      0.39875      0.44207      0.53559      0.65394      0.71495      0.75521      0.76121      0.90379      0.93088    
     2  1.38910E-02  0.29676       2136.3     -0.84310      0.93088     -0.84309     -0.82412     -0.79081     -0.72554     -0.68970     -0.56799     -0.45588     -0.39821     -0.36022     -0.23164     -0.18518      1.30085E-02  0.20574      0.25857      0.39875      0.44207      0.53559      0.65394      0.71495      0.75521      0.76121      0.90379      0.93088    
     3  1.38910E-02  0.29676       2136.3     -0.84310      0.93088     -0.84309     -0.82412     -0.79081     -0.72554     -0.68970     -0.56799     -0.45588     -0.39821     -0.36022     -0.23164     -0.18518      1.30085E-02  0.20574      0.25857      0.39875      0.44207      0.53559      0.65394      0.71495      0.75521      0.76121      0.90379      0.93088    
     4  1.38910E-02  0.29676       2136.3     -0.84310      0.93088     -0.84309     -0.82412     -0.79081     -0.72554     -0.68970     -0.56799     -0.45588     -0.39821     -0.36022     -0.23164     -0.18518      1.30085E-02  0.20574      0.25857      0.39875      0.44207      0.53559      0.65394      0.71495      0.75521      0.76121      0.90379      0.93088    
     5  1.38910E-02  0.29676       2136.3     -0.84310      0.93088     -0.84309     -0.82412     -0.79081     -0.72554     -0.68970     -0.56799     -0.45588     -0.39821     -0.36022     -0.23164     -0.18518      1.30085E-02  0.20574      0.25857      0.39875      0.44207      0.53559      0.65394      0.71495      0.75521      0.76121      0.90379      0.93088    
     6  1.38910E-02  0.29676       2136.3     -0.84310      0.93088     -0.84309     -0.82412     -0.79081     -0.72554     -0.68970     -0.56799     -0.45588     -0.39821     -0.36022     -0.23164     -0.18518      1.30085E-02  0.20574      0.25857      0.39875      0.44207      0.53559      0.65394      0.71495      0.75521      0.76121      0.90379      0.93088    
TIME:
Row     Mean         STD          RSTD         Low          High          0.10%        0.25%        0.50%        0.75%        1.00%        2.50%        5.00%        7.50%       10.00%       20.00%       25.00%       50.00%       75.00%       80.00%       90.00%       92.50%       95.00%       97.50%       99.00%       99.25%       99.50%       99.75%       99.90%
     1   0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
     2  0.13934      5.09463E-02   36.563      4.17380E-02  0.39458      4.17420E-02  4.74432E-02  5.59797E-02  5.79390E-02  5.82627E-02  6.32501E-02  7.15192E-02  7.80576E-02  8.14317E-02  9.72994E-02  0.10303      0.12984      0.16772      0.17969      0.20613      0.21854      0.23762      0.26391      0.29458      0.30842      0.32054      0.33996      0.39453    
     3   7.1222       1.7673       24.814       3.1080       14.211       3.1081       3.3107       3.6462       3.7686       3.7783       4.0925       4.5512       4.8004       5.0479       5.5980       5.8454       6.9874       8.1710       8.4838       9.4878       9.8022       10.221       11.281       12.254       12.526       12.724       13.622       14.211    
     4   7.1222       1.7673       24.814       3.1080       14.211       3.1081       3.3107       3.6462       3.7686       3.7783       4.0925       4.5512       4.8004       5.0479       5.5980       5.8454       6.9874       8.1710       8.4838       9.4878       9.8022       10.221       11.281       12.254       12.526       12.724       13.622       14.211    
